Name;Country;Potential emissions (Gt CO2);Fuel;New project;Latitude;Longitude;Start year;Description;Operator;Operator copy;Banks;
South Pars (Phases 2-3) dry gas;Iran;10.0;Oil&Gas;;27.5;52.7;2010;The South Pars (Phases 2-3) dry gas project is an onshore development for the production of dry gas from South Pars, located in the Persian Gulf offshore Iran. The project consists of two phases: Phase 2, which was completed in 2010, and Phase 3, which was completed in 2011. The project was developed by the National Iranian Oil Company (NIOC) and is operated by Pars Oil and Gas Company (POGC).;National Iranian Oil Company (NIOC),Pars Oil and Gas Company (POGC);National Iranian Oil Company (NIOC),Pars Oil and Gas Company (POGC);;
Pars Southwest;Iran;11.0;Oil&Gas;New project;27.2;53.7;2006;Pars Southwest is an offshore gas field located in the Persian Gulf, off the southern coast of Iran. It was discovered in 2006 and developed by China National Petroleum Corporation (CNPC). The total proven reserves of the Pars Southwest gas field are around 11 trillion cubic feet (Tcf), and production is slated to be around 2 billion cubic feet/day (Bcf/d).;China National Petroleum Corporation (CNPC);China National Petroleum Corporation (CNPC);;
South Pars (Phases 22-24);Iran;10.0;Oil&Gas;;27.5;52.5;2009;South Pars (Phases 22-24) is a major natural gas extraction project located in the Persian Gulf, Iran. South Pars is the largest gas field in the world, shared between Iran and Qatar. The project began in 2009 and is currently operated by the National Iranian Oil Company (NIOC) and the Pars Oil and Gas Company (POGC). It has an estimated capacity of 1.5 billion cubic feet of natural gas per day and supplies gas to several countries.;National Iranian Oil Company (NIOC),Pars Oil and Gas Company (POGC);National Iranian Oil Company (NIOC),Pars Oil and Gas Company (POGC);;
Kish Gas Project;Iran;12.0;Oil&Gas;New project;27.6;53.9;2005;The Kish Gas Project is a gas field located in the Persian Gulf, off the coast of the Iranian island of Kish. It was developed and operated by the National Iranian Oil Company (NIOC). The project is estimated to contain around 5 trillion cubic feet of natural gas, making it one of the largest offshore gas fields in Iran.;National Iranian Oil Company (NIOC);National Iranian Oil Company (NIOC);;
South Pars (Phases 9-10) dry gas;Iran;13.0;Oil&Gas;;27.5;52.6;2015;The South Pars (Phases 9-10) natural gas project is a major offshore gas project located in the Persian Gulf, between Iran and Qatar. This project was initiated in 2015 by the Iranian Offshore Oil Company, a subsidiary of the National Iranian Oil Company. The project aims to develop the South Pars gas field, increase Iran’s natural gas production, and provide natural gas for domestic consumption. It is projected to produce approximately 50 million cubic meters of gas per day.;Iranian Offshore Oil Company;Iranian Offshore Oil Company;;
Central Arabian Offshore;Iran;21.0;Oil&Gas;New project;25.6;54.7;2017;The Central Arabian Offshore project is an oil and gas exploitation project located in the Persian Gulf, off the coast of Iran. The project was initiated in 2017, by the National Iranian Oil Company, in order to boost Iran's oil and gas production capacity. The project seeks to develop seven oil and gas fields in the area and is expected to produce an estimated 500,000 barrels of oil and 3.5 billion cubic meters of natural gas per day.;National Iranian Oil Company;National Iranian Oil Company;;
Ahwaz Asmari;Iran;22.0;Oil&Gas;;31.3;48.8;2009;Ahwaz Asmari is a major oil exploitation project in Iran, operated by The National Iranian Oil Company. The project aims to increase the production of oil in the country, by exploiting the Ahwaz Asmari oilfields located in the southwestern part of Iran. The project started in 2009 and has been ongoing since then.;National Iranian Oil Company;National Iranian Oil Company;;
Gachsaran;Iran;17.0;Oil&Gas;;30.2;50.3;1958;Gachsaran is an oil field located in the Khuzestan Province in southwestern Iran. It is the largest onshore oil field in the country and was discovered in 1958. The field, operated by the National Iranian Oil Company, has an estimated 1.2 billion barrels of recoverable oil and 2 trillion cubic feet of gas reserves. The field is divided into two parts, Gachsaran and Gachsaran South, and covers an area of about 540 square kilometers.;National Iranian Oil Company;National Iranian Oil Company;;
Ahwaz Bangestan;Iran;14.0;Oil&Gas;;31.3;48.7;2010;Ahwaz Bangestan is an oil and gas exploitation project located in Ahwaz, Khuzestan, Iran. The project is owned by the National Iranian Oil Company (NIOC), and is one of the largest oil and gas projects in the world. The project was first established in 2010, and has since become a major source of oil and gas for the country.;National Iranian Oil Company (NIOC);National Iranian Oil Company (NIOC);;
Azadegan;Iran;23.0;Oil&Gas;;30.1;48.1;2005;Azadegan is an oilfield located in the Khuzestan province of Iran. It is one of the world's largest oil fields with an estimated 26 to 33 billion barrels of oil in place. It was discovered in 1999 and development of the field began in 2005. It is operated by the National Iranian Oil Company (NIOC).;National Iranian Oil Company (NIOC);National Iranian Oil Company (NIOC);;
South Pars (Phases 4-5) dry gas;Iran;11.0;Oil&Gas;;27.9;52.7;2005;The South Pars (Phases 4-5) dry gas project is a development project of the South Pars gas field, located in the Persian Gulf between Iran and Qatar. The project is being developed by the National Iranian Oil Company (NIOC) and PetroPars, a subsidiary of NIOC. The project involves constructing two offshore platforms and associated subsea pipelines, and will produce 14.2 billion cubic meters of natural gas per year. It will provide natural gas to Iran's domestic market and feed into the South Pars export market.;National Iranian Oil Company (NIOC),PetroPars;National Iranian Oil Company (NIOC),PetroPars;;
Marun;Iran;24.0;Oil&Gas;;30.7;49.5;1969;The Marun oil field is located in the Marun region of Iran and is the largest oil field in the country, with an estimated 5.5 billion barrels of oil in place. It is operated by the National Iranian Oil Company (NIOC) and is an important source of oil for Iran. The Marun field has been developed since 1969 and is still producing oil today.;National Iranian Oil Company (NIOC);National Iranian Oil Company (NIOC);;
Pazanan;Iran;14.0;Oil&Gas;;29.2;51.3;2005;Pazanan is an oil and gas exploitation project in Iran. It is operated by Iran's state-owned National Iranian Oil Company (NIOC). The project was initiated in 2005 and consists of two oilfields, one containing heavy oil and the other containing light oil. The project aims to increase Iran's oil production capacity and to improve its oil industry infrastructure.;National Iranian Oil Company (NIOC);National Iranian Oil Company (NIOC);;
South Pars (Phases 20-21);Iran;10.0;Oil&Gas;;27.6;52.7;2011;The South Pars (Phases 20-21) is a joint development project between Iran and Qatar for the development of two new offshore gas fields located in the north of the Persian Gulf. It is projected to produce 28 million cubic meters of natural gas per day and to generate 1,200 megawatts of electricity. The project was initiated in 2011.;National Iranian Oil Company (NIOC) and Qatar Petroleum (QP);National Iranian Oil Company (NIOC) and Qatar Petroleum (QP);;
Baghdad East;Iraq;27.0;Oil&Gas;;33.3;44.3;2004;Baghdad East is a large-scale oil project in the south of Iraq, located near the city of Basra. The project was launched in 2004 by the Iraqi government in order to enhance the country's oil production capacity. The project involves the construction of new pipelines, storage tanks, and other infrastructure, and is expected to increase the country's oil production by more than one million barrels per day.;Iraqi Oil Ministry,Royal Dutch Shell,Malaysian Petronas,China's Sinochem,Russia's Lukoil;Iraqi Oil Ministry,Royal Dutch Shell,Malaysian Petronas,China's Sinochem,Russia's Lukoil;;
Qurna West-2;Iraq;16.0;Oil&Gas;;28.6;47.8;2008;Qurna West-2 is an oil exploitation project located in the southern part of Iraq. It is owned by Lukoil, an international oil and gas company, and is operated by Lukoil Iraq Ltd. The project was launched in 2008 and is estimated to have a production capacity of 250,000 barrels of oil per day. The objective of the project is to increase the production of oil in Iraq.;Lukoil Iraq Ltd.;Lukoil Iraq Ltd.;;
Zubair;Iraq;17.0;Oil&Gas;;30.0;44.4;2013;The Zubair Field is an oil field in Iraq, located some 60 kilometers south of Basra. The field was first discovered in 1953 and is one of the largest oil fields in Iraq, with estimated recoverable reserves of 8 billion barrels of oil. It is operated by Eni, a multinational oil and gas company. The project includes two land-based drilling rigs and a gas processing plant.;Eni;Eni;;
Rumaila North & South;Iraq;78.0;Oil&Gas;;30.5;47.5;2010;The Rumaila North & South project is an oil field development and production project located in southern Iraq, operated by a consortium of BP, CNPC and SOMO. The project is considered to be one of the largest oil field developments ever undertaken and is expected to double the production of crude oil from the Rumaila field. The project is estimated to cost $15 billion and is expected to produce 1.025 million barrels of oil per day when completed.;BP,CNPC,SOMO;BP,CNPC,SOMO;;
Qurna West;Iraq;40.0;Oil&Gas;;30.3;47.6;2003;The Qurna West project is an oilfield located in southern Iraq, near Basra. It is operated by the Basra Oil Company in partnership with a consortium of international oil companies including Royal Dutch Shell, Mitsubishi Corporation, and Petronas. The project began in 2003, and since then has become a major source of Iraq's oil production. The project includes the development of oil fields, service facilities, pipelines and tankers to transport the oil to export terminals.;Basra Oil Company,Royal Dutch Shell,Mitsubishi Corporation,Petronas;Basra Oil Company,Royal Dutch Shell,Mitsubishi Corporation,Petronas;;
Central Arabian Onshore;Iraq;26.0;Oil&Gas;New project;30.4;47.5;2011;Central Arabian Onshore is a major oil exploitation project located in Iraq. It is a joint venture between Iraq's South Oil Company and a consortium of international companies, including Exxon Mobil, Shell, Total, and Mitsubishi. The project was started in 2011 to explore and develop oil fields in the country's Southern part. The project is expected to significantly increase Iraq's oil production and help diversify the country's economy.;South Oil Company,Exxon Mobil,Shell,Total,Mitsubishi;South Oil Company,Exxon Mobil,Shell,Total,Mitsubishi;;
Ratawi;Iraq;11.0;Oil&Gas;;29.9;46.2;2003;Ratawi is an oilfield located in the southern part of the country, in the Basra Governorate. The field was discovered in 2003 and developed by Shell Iraq Petroleum Development (SIPD) in cooperation with the Iraqi South Gas Company. The oilfield is estimated to contain about 3 billion barrels of oil, with a production capacity of 120,000 barrels per day.;Shell Iraq Petroleum Development (SIPD);Shell Iraq Petroleum Development (SIPD);;
Halfayah;Iraq;14.0;Oil&Gas;;32.1;44.6;2012;Halfayah is an oil and gas field located in the Iraqi desert. It was developed by the Iraqi North Oil Company (NOC) and operated by BP, who are responsible for the exploration, development, and production of the field. The project is expected to produce up to 150,000 barrels of oil per day and has a total estimated reserves of 5 billion barrels.;Iraq North Oil Company (NOC) and BP;Iraq North Oil Company (NOC) and BP;;
Basrah Gas project;Iraq;10.0;Oil&Gas;;29.9;47.9;2012;The Basrah Gas Project is a joint venture between South Gas Company, Shell and Mitsubishi, and is designed to capture and commercially develop the associated gas from the Basrah Oil Fields in southern Iraq. The gas is used for the generation of electricity, for industrial and commercial uses, and for domestic consumption. The project is aimed at reducing the flaring of associated gas from the oil fields and contributing to the environment by reducing greenhouse gas emissions.;South Gas Company,Shell,Mitsubishi;South Gas Company,Shell,Mitsubishi;;
Majnoon;Iraq;25.0;Oil&Gas;;30.7;47.6;2013;Majnoon is a major oil field located in the southern Iraqi governorate of Basra, near the town of Nasiriyah. It was discovered in 1973 and is developed by Royal Dutch Shell and its partners, the Iraq Ministry of Oil and China National Petroleum Corporation (CNPC). The project has been in development since 2013, with an estimated total of 12.6 billion barrels of oil. The oilfield is expected to reach a peak production of 1.8 million barrels per day in 2021.;Royal Dutch Shell,Iraq Ministry of Oil,China National Petroleum Corporation (CNPC);Royal Dutch Shell,Iraq Ministry of Oil,China National Petroleum Corporation (CNPC);;
Nahr bin Umar;Iraq;13.0;Oil&Gas;;33.3;43.9;2004;Nahr bin Umar is an oil and gas field located in the Wasit Governorate in Iraq. The field was discovered in 2004, and is being developed by the China National Petroleum Corporation (CNPC). The field began production in October 2016 and produces oil and gas from the Cretaceous reservoir.;China National Petroleum Corporation (CNPC);China National Petroleum Corporation (CNPC);;
Leviathan;Israel;11.0;Oil&Gas;;32.0;35.0;2010;The Leviathan gas field is a giant offshore natural gas field located in the Eastern Mediterranean Sea, approximately 130 kilometers west of Haifa, Israel. Discovered in 2010, Leviathan is the largest natural gas field in the Mediterranean, containing an estimated 622 billion cubic meters of natural gas. It is operated by the Texas-based Noble Energy, in partnership with a consortium of Israeli companies.;Noble Energy,Delek Group,Ratio Oil Exploration,Avner Oil Exploration;Noble Energy,Delek Group,Ratio Oil Exploration,Avner Oil Exploration;;
Carboniferous Shale;Kazakhstan;13.0;Oil&Gas;New project;45.3;66.9;2018;Carboniferous Shale is an oil and gas exploration and production project located in the Aktobe region of Kazakhstan. The project is operated by the state-owned oil and gas company KazMunayGas, who holds a 60% stake in the project, while the remaining 40% is held by a consortium consisting of the Indian oil and gas company ONGC Videsh and the Chinese oil and gas company CNPC.;KazMunayGas (60%),ONGC Videsh (20%),CNPC (20%);KazMunayGas (60%),ONGC Videsh (20%),CNPC (20%);;
Kashagan;Kazakhstan;51.0;Oil&Gas;;46.5;50.8;2013;Kashagan is an offshore oil field in the Caspian Sea in Kazakhstan. It is one of the world's largest oil fields and the biggest oil discovery in the last 30 years. The project began in 2000 and started producing oil in 2013. The consortium of international oil companies involved in the development includes Eni, Shell, Total, Kazakhstan's national oil company KazMunayGas, China's CNPC, and Japan's Inpex.;Eni,Shell,Total,KazMunayGas,CNPC,Inpex;Eni,Shell,Total,KazMunayGas,CNPC,Inpex;;
Borly Coal Mines;Kazakhstan;10.0;Coal;;43.3;76.9;1990;The Borly coal mine is located in the Karaganda region of Kazakhstan. It is owned and operated by ArcelorMittal Temirtau, a subsidiary of ArcelorMittal, the world’s largest steel and mining company. The mine is the main source of coal for ArcelorMittal Temirtau’s steel production, supplying over 70% of the company’s coal needs. The mine produces over 3 million tonnes of coal annually.;ArcelorMittal Temirtau;ArcelorMittal Temirtau;;
Karachaganak;Kazakhstan;12.0;Oil&Gas;;50.9;71.6;1979;The Karachaganak project is the largest oil and gas field in Kazakhstan. It is located in the north-west of Kazakhstan, in the Atyrau Province, close to the border with Russia. The project was initiated in 1979 and is owned by a consortium of international oil companies, including Chevron, Eni, BG Group, Lukoil and KazMunaiGas. It produces natural gas, condensate and light crude oil.;Chevron,Eni,BG Group,Lukoil,KazMunaiGas;Chevron,Eni,BG Group,Lukoil,KazMunaiGas;;
Shubarkol Coal Mine;Kazakhstan;10.0;Coal;;48.0;75.5;1995;The Shubarkol coal mine is an open-pit coal mine located in the Karaganda Region of Kazakhstan. The mine is part of the Karaganda coal basin and has reserves of 392 million tonnes of coal, making it one of the largest coal mines in the world. The mine produces coal for both the domestic and export markets.;Shubarkol Komir JSC;Shubarkol Komir JSC;;
Tengiz;Kazakhstan;34.0;Oil&Gas;;47.1;51.1;1993;Tengiz is a supergiant oil field located in western Kazakhstan near the Caspian Sea. It is one of the deepest oil fields in the world, with a depth of more than 5,000 feet. The field was discovered in 1979 and first started producing oil in 1993. It is operated by the Tengizchevroil joint venture, which is a partnership between Chevron, ExxonMobil, KazMunayGas, and Lukoil.;Tengizchevroil joint venture,ExxonMobil,KazMunayGas;Tengizchevroil joint venture,ExxonMobil,KazMunayGas;;
Bogatyr Coal Mine;Kazakhstan;73.0;Coal;;44.8;66.9;1974;Bogatyr Coal Mine is the largest open-pit coal mining operation in the world, located in Ekibastuz in the Pavlodar Region of Kazakhstan. It was founded in 1974 and currently produces around 35 million metric tons of coal per year.;Bogatyr Access Komir;Bogatyr Access Komir;;
Project Kuwait;Kuwait;44.0;Oil&Gas;;29.3;47.5;2007;Project Kuwait is an oil and gas project that was launched in 2007 by the Kuwait Oil Company in order to increase the country's oil production capacity. The project involves the construction of new refineries, pipelines and storage facilities and the modernization of existing facilities. It is expected to increase Kuwait's oil production capacity by 300,000 barrels per day.;Kuwait Oil Company;Kuwait Oil Company;;
Central Arabian Onshore;Kuwait;36.0;Oil&Gas;New project;29.3;47.7;2002;Central Arabian Onshore is a project located in the Arabian Gulf region of Kuwait. It was launched in 2002 and consists of a number of oil and gas fields. The main operators of the project are Kuwait Oil Company and Kuwait Foreign Petroleum Exploration Company.;Kuwait Oil Company,Kuwait Foreign Petroleum Exploration Company;Kuwait Oil Company,Kuwait Foreign Petroleum Exploration Company;;
Greater Burgan;Kuwait;83.0;Oil&Gas;;29.3;47.8;1961;The Greater Burgan Field is an oil field located near Ahmadi in Kuwait. The field was discovered in 1961 and produces oil and gas. It is the second largest oil field in the world and has an estimated recoverable oil reserve of about 70 billion barrels. The field is operated by Kuwait Oil Company (KOC). In 2013, the field produced around 2.6 million barrels of crude oil per day.;Kuwait Oil Company (KOC);Kuwait Oil Company (KOC);;
Khafji;Kuwait-Saudi-Arabia-Neutral Zone;14.0;Oil&Gas;New project;28.5;48.4;1977;Khafji is a joint venture project between Kuwait and Saudi Arabia located in the neutral zone between the two countries. The project was first established in 1977 with the objective of exploiting the large oil reserves located in the area. The project is now operated by Kuwait Gulf Oil Company (KGOC) and Saudi Arabian Chevron (SAC).;Kuwait Gulf Oil Company (KGOC) and Saudi Arabian Chevron (SAC).;Kuwait Gulf Oil Company (KGOC) and Saudi Arabian Chevron (SAC).;;
Sirte Shale;Libya;17.0;Oil&Gas;New project;30.6;17.6;2011;The Sirte Shale project is an exploration project in Libya that began in 2011. It is a joint venture between the Libyan National Oil Corporation and a consortium of international oil companies, including Total, Eni, OMV, and Repsol. The project aims to explore and develop the potential of the Sirte Shale, a sedimentary rock formation in Libya that is estimated to contain up to 8 billion barrels of oil.;Libyan National Oil Corporation,Total,Eni,OMV,Repsol;Libyan National Oil Corporation,Total,Eni,OMV,Repsol;;
El Sharara;Libya;10.0;Oil&Gas;;28.9;13.3;2017;El Sharara is an oil field located in the Murzuq Basin in southwestern Libya, approximately 850 km (530 mi) south of Tripoli. The field was discovered in October 2011, and is estimated to contain 4.5 billion barrels of recoverable oil. It is operated by the state-owned National Oil Corporation (NOC) and is estimated to produce 315,000 barrels per day.;National Oil Corporation (NOC);National Oil Corporation (NOC);;
Gulf Deepwater Offshore;Mexico;22.0;Oil&Gas;New project;25.8;-97.8;2003;Gulf Deepwater Offshore is a large offshore oil and gas project located in the Gulf of Mexico. It was initiated in 2003 and is operated by the Mexican state oil company, Pemex. The project aims to exploit the deepwater hydrocarbon reserves of the Gulf of Mexico, with a view to significantly increasing oil and gas production in the region. The project includes the development of several subsea wells, the construction of a drilling platform, and the laying of pipelines and associated infrastructure.;Pemex;Pemex;;
Eagle Ford Shale;Mexico;51.0;Oil&Gas;New project;26.5;-99.7;2009;The Eagle Ford Shale is a sedimentary rock formation located in the U.S. state of Texas. It is an important source of oil and natural gas, and is largely responsible for the economic boom in the area. The shale is made up of several layers of clay, silt, and sandstone. It was discovered in 2008 and since then has become one of the most important sources of oil and gas in the United States.;Chevron,ExxonMobil,ConocoPhillips,Apache,BHP Billiton,Devon Energy;Chevron,ExxonMobil,ConocoPhillips,Apache,BHP Billiton,Devon Energy;;
Ku-Maloob-Zaap Project;Mexico;20.0;Oil&Gas;;25.2;-99.0;2003;The Ku-Maloob-Zaap project is an offshore oil and gas development located in the Bay of Campeche in the Mexican Gulf. The project is operated by a consortium of Pemex, British Petroleum (BP) and Repsol, and is Mexico’s largest offshore oilfield. The project produces over 500,000 barrels of oil and 5 billion cubic feet of natural gas per day, and is estimated to contain over 5 billion barrels of oil reserves.;Pemex,British Petroleum (BP),Repsol;Pemex,British Petroleum (BP),Repsol;;
Yucatan Platform Offshore;Mexico;10.0;Oil&Gas;New project;20.8;-88.0;2002;The Yucatan Platform Offshore is an oil and gas production platform located approximately 150 km off the Yucatan Peninsula in the Gulf of Mexico. It is owned and operated by Pemex, the state-owned oil company of Mexico. The platform consists of a semi-submersible platform with a total of nine wells. It is designed to produce up to 200,000 barrels of oil per day, with an estimated 90% recovery rate.;Pemex;Pemex;;
Tavan Tolgoi Coal Mine;Mongolia;160.0;Coal;New project;46.3;103.7;2011;The Tavan Tolgoi Coal Mine is a coal mining project located in the Gobi Desert, in the Omnogovi Aimag of southern Mongolia. It is the largest coal deposit in Mongolia, estimated to contain 6.4 billion tons of coal. The project is expected to produce 20 million tons of coal annually and to be operational until 2045. The coal produced is intended for export to China, Japan and Korea.;Erdenes Tavan Tolgoi (ETT),China Shenhua Group,Peabody Energy,Mongolian Mining Corporation and Shenhua Group;Erdenes Tavan Tolgoi (ETT),China Shenhua Group,Peabody Energy,Mongolian Mining Corporation and Shenhua Group;;
Area-1 Future Phases;Mozambique;10.0;Oil&Gas;New project;-14.8;40.8;2021;Area-1 Future Phases is a project that aims to develop multiple gas fields offshore Mozambique. The project includes the development of the Coral South FLNG, which is the first floating liquefied natural gas facility in Africa. The project is expected to produce up to 15.1 million tonnes of LNG per year and will provide a major boost to Mozambique's economy.;Total,CNPC,ENH,Mitsui,Bharat Petroleum,PTT,ONGC Videsh,Mozambique Rovuma Venture;Total,CNPC,ENH,Mitsui,Bharat Petroleum,PTT,ONGC Videsh,Mozambique Rovuma Venture;;
Area 1 LNG (T1&T2);Mozambique;10.0;Oil&Gas;New project;-11.3;40.9;2021;Area 1 LNG (T1&T2) is a multi-billion dollar liquefied natural gas (LNG) development project located in the Rovuma Basin offshore Mozambique. The project is being developed by a consortium of major energy companies, including ExxonMobil, Eni, China National Petroleum Corporation and Kogas, with a total investment of more than $30 billion. The project will include the construction of two LNG trains with a combined capacity of 15 million tonnes of LNG per annum, and associated infrastructure, including two offshore platforms, subsea pipelines and onshore facilities.;ExxonMobil,Eni,China National Petroleum Corporation and Kogas;ExxonMobil,Eni,China National Petroleum Corporation and Kogas;;
Chirodzi Coal Mine;Mozambique;29.0;Coal;New project;-19.2;33.4;2012;The Chirodzi coal mine is a large-scale open-pit coal mine located in the province of Tete in Mozambique. The mine has an estimated reserve of 1.5 billion tonnes of coal, with coal quality ranging from sub-bituminous to semi-anthracite. It is operated by Vale Mozambique, a subsidiary of Brazilian mining company Vale, and is projected to produce 5 million tonnes of coal per year. The coal mined at the mine is used for both domestic consumption and export.;Vale Mozambique;Vale Mozambique;;
Zambezi Coal Mine;Mozambique;41.0;Coal;New project;-17.8;32.8;2011;The Zambezi Coal Mine is a coal mining project located in the Tete Province of Mozambique. It is the largest coal mining project in Mozambique and one of the largest in the world. The project is owned by Jindal Steel and Power, a major Indian energy company, and is expected to produce 5.5 million tonnes of coal a year. The project is expected to generate jobs and economic activity in the region.;Jindal Steel and Power;Jindal Steel and Power;;
MZLNG Joint Development (T1-T2);Mozambique;13.0;Oil&Gas;New project;-14.1;40.7;2011;The MZLNG Joint Development (T1-T2) is an LNG (liquified natural gas) project in Mozambique that was established in 2011. The project is a joint venture between ENI (Italian Oil and Gas Company) and the Mozambique government. The project includes two gas fields in the Rovuma basin, T1 and T2, which have estimated gas reserves of 75 to 85 trillion cubic feet. The project is aimed at extracting natural gas from these fields and converting it into liquid form for export to international markets.;ENI,Mozambique Government;ENI,Mozambique Government;;
Revuboe Coal Mine;Mozambique;14.0;Coal;New project;-24.9;32.9;2011;The Revuboe coal mine is located in the Tete Province of Mozambique. Owned by Talbot Group, the mine was estimated to contain 585.2 million tonnes of coking coal, one of the largest coal reserves in Africa. The project was initially developed by Riversdale Mining, which was purchased by Rio Tinto in 2011. Construction of the mine began in 2011 and the first coal was expected to be produced in 2014.;Talbot Group,Riversdale Mining,Rio Tinto;Talbot Group,Riversdale Mining,Rio Tinto;;
NLNG Base Project;Nigeria;10.0;Oil&Gas;;4.7;6.9;1989;The Nigeria Liquefied Natural Gas (NLNG) Base Project is a natural gas liquefaction and transportation project located in Bonny Island, Rivers State, Nigeria. It was constructed in 1989 and is currently operated by Nigeria LNG Limited, a joint venture of the Nigerian National Petroleum Corporation (NNPC), Shell, Total and Eni. The project was designed to produce, process and transport natural gas from Nigeria's offshore oil fields to international markets.;Nigerian National Petroleum Corporation (NNPC),Shell,Total,Eni;Nigerian National Petroleum Corporation (NNPC),Shell,Total,Eni;;
Saebyol Coal Mining Complex;North Korea;32.0;Coal;;40.8;129.3;2015;The Saebyol Coal Mining Complex is a large open-pit coal mine located in North Korea's South Pyongan Province. It is owned and operated by the state-owned Korean People's Army. The project was launched in 2015 with the aim of supplying the country's coal-fired power plants with coal for electricity generation.;Korean People's Army;Korean People's Army;;
Troll;Norway;18.0;Oil&Gas;;59.9;5.8;1996;Troll is the largest gas field in the North Sea and one of the most important sources of gas for Europe, providing around 25 percent of total Norwegian gas production and more than 10 percent of the continent's total gas production. It was discovered in 1979 and oil and gas production started in 1996.;Statoil,Total,Norske Shell,ExxonMobil;Statoil,Total,Norske Shell,ExxonMobil;;
Johan Sverdrup;Norway;11.0;Oil&Gas;;58.9;5.3;2019;Johan Sverdrup is an oil and gas field located in the Norwegian sector of the North Sea, approximately 140 kilometers west of Stavanger. It is the second-largest oil discovery in the North Sea, estimated to contain between 1.8 and 3 billion barrels of oil equivalent. The field is operated by Equinor and partners Lundin Norway, Petoro, Aker BP and Total. It is expected that the field will produce up to 660,000 barrels of oil per day by 2022.;Equinor,Lundin Norway,Petoro,Aker BP,TotalEnergies;Equinor,Lundin Norway,Petoro,Aker BP,TotalEnergies;;
Sembar Shale;Pakistan;28.0;Oil&Gas;New project;27.5;70.5;2012;Sembar Shale is an exploration and production project located in the Sindh province of Pakistan. The project was initiated in 2012 by the Pakistan Petroleum Limited (PPL) and is focused on exploiting the shale gas reserves of the region. The project seeks to utilize advanced technologies such as horizontal drilling and hydraulic fracturing for the extraction of shale gas.;Pakistan Petroleum Limited (PPL);Pakistan Petroleum Limited (PPL);;
Thar Coal Mine;Pakistan;19.0;Coal;;24.9;70.0;1992;The Thar Coal Mine is a large open cast coal mine located in the Thar Desert of Sindh, Pakistan. The mine has estimated reserves of 175 billion tons of lignite coal, making it one of the largest coal reserves in the world. The project was initiated in 1992 to develop a coal mining and power generation project in the Thar Desert, with the objective of providing a sustainable energy solution for Pakistan.;Sindh Engro Coal Mining Company;Sindh Engro Coal Mining Company;;
Lublin Basin Silurian Shale;Poland;56.0;Oil&Gas;New project;51.4;22.1;2011;The Lublin Basin Silurian Shale project is a major oil and gas exploitation project in Poland. The project’s objective is to develop a shale gas field with the capacity to produce up to 4 billion m3 of natural gas per year. The project was initiated in 2011 and is being developed by a consortium of three companies, including the Polish Oil and Gas Company (PGNiG), Chevron, and 3S Energy.;Polish Oil and Gas Company (PGNiG),Chevron,3S Energy;Polish Oil and Gas Company (PGNiG),Chevron,3S Energy;;
Rasgas 2 LNG T3-T5;Qatar;15.0;Oil&Gas;;25.9;51.4;2009;Rasgas 2 LNG T3-T5 is a natural gas project located in Qatar. It consists of three natural gas liquefaction trains with a total capacity of 6.1 million tonnes per annum (MTPA) of liquefied natural gas (LNG). The project also includes the production of condensate, which is a by-product of the LNG production. The project is owned by the Qatar Petroleum and the US company ExxonMobil.;Qatar Petroleum and ExxonMobil;Qatar Petroleum and ExxonMobil;;
QatarGas LNG T8-T11 (NFE-East);Qatar;34.0;Oil&Gas;New project;25.8;51.1;2017;QatarGas LNG T8-T11 (NFE-East) is the largest liquefied natural gas (LNG) production and export project in Qatar. It was launched in 2017 and consists of 11 trains with a total capacity of 24.3 million tons per annum (mtpa). The project aims to meet the growing demand for natural gas in the international market.;Qatar Petroleum and Shell;Qatar Petroleum and Shell;;
North Field E;Qatar;46.0;Oil&Gas;New project;25.5;51.5;1991;North Field E is an oil and gas field located in Qatar. It is a part of the larger North Field, which is the world's largest single non-associated natural gas field. The North Field was discovered in 1971 and is estimated to hold more than 900 trillion cubic feet of recoverable gas. North Field E has a capacity of 1.4 billion cubic feet of gas per day and produces an estimated 350,000 barrels of condensate per day.;Qatar Petroleum and ExxonMobil;Qatar Petroleum and ExxonMobil;;
Central Arabian Onshore;Qatar;22.0;Oil&Gas;New project;25.6;51.3;2005;Central Arabian Onshore is an oil exploitation project located in Qatar, operated by Qatar Petroleum. It is the biggest onshore oil project in the country and was launched in 2005. It produces around 500,000 barrels of oil per day.;Qatar Petroleum;Qatar Petroleum;;
QatarGas LNG T12-T13 (NFE-South);Qatar;18.0;Oil&Gas;New project;25.3;51.5;2009;The QatarGas LNG T12-T13 (NFE-South) project is a joint venture between the Qatar Petroleum and Shell Gas BV. The project involved the construction of two liquefied natural gas (LNG) trains, each with a capacity of 7.8 million tonnes per annum (mtpa). The project is located at Ras Laffan Industrial City, Qatar and is the largest LNG project in the world.;Qatar Petroleum,Shell Gas BV;Qatar Petroleum,Shell Gas BV;;
North Field;Qatar;116.0;Oil&Gas;New project;25.9;51.6;1971;The North Field is one of the largest natural gas fields in the world. It is located off the northeast coast of Qatar and produces natural gas from the Jurassic-age Barzam and Yusr formations. The North Field was discovered in 1971 and began production in 1997. The field currently produces 2.8 billion cubic feet per day, or about 20% of Qatar’s total gas production.;Qatar Petroleum (QP);Qatar Petroleum (QP);;
