T02,"Population, density and surface area",,,,,
484,Mexico,2020,Population aged 0 to 14 years old (percentage),25.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
484,Mexico,2020,Population aged 60+ years old (percentage),11.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
484,Mexico,2020,Population density,64.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
484,Mexico,2020,Surface area (thousand km2),"1,964",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
484,Mexico,2022,Population mid-year estimates (millions),127.50,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
484,Mexico,2022,Population mid-year estimates for males (millions),62.20,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
484,Mexico,2022,Population mid-year estimates for females (millions),65.31,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
484,Mexico,2022,Sex ratio (males per 100 females),95.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
484,Mexico,2022,Population aged 0 to 14 years old (percentage),24.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
484,Mexico,2022,Population aged 60+ years old (percentage),12.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
484,Mexico,2022,Population density,65.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2010,Population mid-year estimates (millions),0.11,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2010,Population mid-year estimates for males (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2010,Population mid-year estimates for females (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2010,Sex ratio (males per 100 females),101.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
583,Micronesia (Fed. States of),2010,Population aged 0 to 14 years old (percentage),35.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
583,Micronesia (Fed. States of),2010,Population aged 60+ years old (percentage),5.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
583,Micronesia (Fed. States of),2010,Population density,153.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2015,Population mid-year estimates (millions),0.11,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2015,Population mid-year estimates for males (millions),0.06,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2015,Population mid-year estimates for females (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2015,Sex ratio (males per 100 females),101.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
583,Micronesia (Fed. States of),2015,Population aged 0 to 14 years old (percentage),33.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
583,Micronesia (Fed. States of),2015,Population aged 60+ years old (percentage),7.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
583,Micronesia (Fed. States of),2015,Population density,156.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2015,Surface area (thousand km2),1,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
583,Micronesia (Fed. States of),2020,Population mid-year estimates (millions),0.11,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2020,Population mid-year estimates for males (millions),0.06,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2020,Population mid-year estimates for females (millions),0.06,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2020,Sex ratio (males per 100 females),101.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
583,Micronesia (Fed. States of),2020,Population aged 0 to 14 years old (percentage),31.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
583,Micronesia (Fed. States of),2020,Population aged 60+ years old (percentage),9.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
583,Micronesia (Fed. States of),2020,Population density,160.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2020,Surface area (thousand km2),1,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
583,Micronesia (Fed. States of),2022,Population mid-year estimates (millions),0.11,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2022,Population mid-year estimates for males (millions),0.06,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2022,Population mid-year estimates for females (millions),0.06,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
583,Micronesia (Fed. States of),2022,Sex ratio (males per 100 females),101.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
583,Micronesia (Fed. States of),2022,Population aged 0 to 14 years old (percentage),30.3,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
583,Micronesia (Fed. States of),2022,Population aged 60+ years old (percentage),9.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
583,Micronesia (Fed. States of),2022,Population density,163.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2010,Population mid-year estimates (millions),0.03,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2010,Population mid-year estimates for males (millions),0.02,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2010,Population mid-year estimates for females (millions),0.02,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2010,Sex ratio (males per 100 females),95.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
492,Monaco,2010,Population aged 0 to 14 years old (percentage),13.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
492,Monaco,2010,Population aged 60+ years old (percentage),34.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
492,Monaco,2010,Population density,"22,267.5",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2015,Population mid-year estimates (millions),0.04,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2015,Population mid-year estimates for males (millions),0.02,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2015,Population mid-year estimates for females (millions),0.02,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2015,Sex ratio (males per 100 females),96.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
492,Monaco,2015,Population aged 0 to 14 years old (percentage),12.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
492,Monaco,2015,Population aged 60+ years old (percentage),41.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
492,Monaco,2015,Population density,"24,671.1",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
492,Monaco,2020,Population mid-year estimates (millions),0.04,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2020,Population mid-year estimates for males (millions),0.02,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2020,Population mid-year estimates for females (millions),0.02,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2020,Sex ratio (males per 100 females),96.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
492,Monaco,2020,Population aged 0 to 14 years old (percentage),12.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
492,Monaco,2020,Population aged 60+ years old (percentage),43.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
492,Monaco,2020,Population density,"24,779.9",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2020,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
492,Monaco,2022,Population mid-year estimates (millions),0.04,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2022,Population mid-year estimates for males (millions),0.02,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2022,Population mid-year estimates for females (millions),0.02,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
492,Monaco,2022,Sex ratio (males per 100 females),96.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
492,Monaco,2022,Population aged 0 to 14 years old (percentage),13.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
492,Monaco,2022,Population aged 60+ years old (percentage),43.7,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
492,Monaco,2022,Population density,"24,475.8",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2010,Population mid-year estimates (millions),2.70,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2010,Population mid-year estimates for males (millions),1.35,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2010,Population mid-year estimates for females (millions),1.36,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2010,Sex ratio (males per 100 females),99.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
496,Mongolia,2010,Population aged 0 to 14 years old (percentage),28.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
496,Mongolia,2010,Population aged 60+ years old (percentage),5.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
496,Mongolia,2010,Population density,1.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2015,Population mid-year estimates (millions),2.96,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2015,Population mid-year estimates for males (millions),1.47,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2015,Population mid-year estimates for females (millions),1.49,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2015,Sex ratio (males per 100 females),98.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
496,Mongolia,2015,Population aged 0 to 14 years old (percentage),29.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
496,Mongolia,2015,Population aged 60+ years old (percentage),6.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
496,Mongolia,2015,Population density,1.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2015,Surface area (thousand km2),"1,564",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
496,Mongolia,2020,Population mid-year estimates (millions),3.29,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2020,Population mid-year estimates for males (millions),1.64,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2020,Population mid-year estimates for females (millions),1.66,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2020,Sex ratio (males per 100 females),98.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
496,Mongolia,2020,Population aged 0 to 14 years old (percentage),32.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
496,Mongolia,2020,Population aged 60+ years old (percentage),7.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
496,Mongolia,2020,Population density,2.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2020,Surface area (thousand km2),"1,564",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
496,Mongolia,2022,Population mid-year estimates (millions),3.40,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2022,Population mid-year estimates for males (millions),1.69,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2022,Population mid-year estimates for females (millions),1.71,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
496,Mongolia,2022,Sex ratio (males per 100 females),98.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
496,Mongolia,2022,Population aged 0 to 14 years old (percentage),32.5,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
496,Mongolia,2022,Population aged 60+ years old (percentage),8.0,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
496,Mongolia,2022,Population density,2.2,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2010,Population mid-year estimates (millions),0.63,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2010,Population mid-year estimates for males (millions),0.31,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2010,Population mid-year estimates for females (millions),0.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2010,Sex ratio (males per 100 females),94.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
499,Montenegro,2010,Population aged 0 to 14 years old (percentage),19.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
499,Montenegro,2010,Population aged 60+ years old (percentage),18.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
499,Montenegro,2010,Population density,45.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2015,Population mid-year estimates (millions),0.63,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2015,Population mid-year estimates for males (millions),0.31,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2015,Population mid-year estimates for females (millions),0.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2015,Sex ratio (males per 100 females),95.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
499,Montenegro,2015,Population aged 0 to 14 years old (percentage),18.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
499,Montenegro,2015,Population aged 60+ years old (percentage),20.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
499,Montenegro,2015,Population density,45.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2015,Surface area (thousand km2),14,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
499,Montenegro,2020,Population mid-year estimates (millions),0.63,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2020,Population mid-year estimates for males (millions),0.31,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2020,Population mid-year estimates for females (millions),0.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2020,Sex ratio (males per 100 females),95.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
499,Montenegro,2020,Population aged 0 to 14 years old (percentage),18.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
499,Montenegro,2020,Population aged 60+ years old (percentage),22.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
499,Montenegro,2020,Population density,45.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2020,Surface area (thousand km2),14,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
499,Montenegro,2022,Population mid-year estimates (millions),0.63,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2022,Population mid-year estimates for males (millions),0.31,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2022,Population mid-year estimates for females (millions),0.32,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
499,Montenegro,2022,Sex ratio (males per 100 females),94.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
499,Montenegro,2022,Population aged 0 to 14 years old (percentage),18.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
499,Montenegro,2022,Population aged 60+ years old (percentage),22.9,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
499,Montenegro,2022,Population density,45.4,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
500,Montserrat,2010,Population mid-year estimates (millions),0.00,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
500,Montserrat,2010,Population mid-year estimates for males (millions),0.00,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
500,Montserrat,2010,Population mid-year estimates for females (millions),0.00,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
500,Montserrat,2010,Sex ratio (males per 100 females),107.4,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
500,Montserrat,2010,Population aged 0 to 14 years old (percentage),19.8,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
500,Montserrat,2010,Population aged 60+ years old (percentage),18.5,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
